iter	Logloss
0	0.6070868583
1	0.5234138295
2	0.4572513156
3	0.3967774653
4	0.3610859337
5	0.3190265024
6	0.2721513953
7	0.2421908575
8	0.2215339428
9	0.2002986372
10	0.1839556836
11	0.172295187
12	0.159532948
13	0.1482247688
14	0.1383984494
15	0.1312339428
16	0.1232631228
17	0.118375858
18	0.1118817964
19	0.1065256697
20	0.1008689162
21	0.09851393106
22	0.09115998202
23	0.08628523466
24	0.08210075974
25	0.07963168039
26	0.07818712357
27	0.07501281627
28	0.07271232439
29	0.06973521561
30	0.06887184336
31	0.06765546116
32	0.06617337758
33	0.06413421523
34	0.06130892028
35	0.06079469318
36	0.05774927019
37	0.05625949181
38	0.05381683479
39	0.05294111581
40	0.05141798661
41	0.04952108259
42	0.04769442162
43	0.04697321481
44	0.04642508313
45	0.04599728833
46	0.04344879719
47	0.04183870412
48	0.04018939786
49	0.03985830311
50	0.03860187643
51	0.03835790588
52	0.03779171879
53	0.03726214306
54	0.03672815368
55	0.03611513822
56	0.03464039566
57	0.03406499832
58	0.03268870176
59	0.03149443941
60	0.030472869
61	0.0302636443
62	0.02937213677
63	0.02845789403
64	0.02835513368
65	0.02811016214
66	0.02765155825
67	0.02751657888
68	0.02607821289
69	0.02600087662
70	0.02500057013
71	0.02389903174
72	0.02379455275
73	0.02374159205
74	0.02347680002
75	0.02237892092
76	0.02214108864
77	0.02196938913
78	0.02173897522
79	0.02169165574
80	0.02121429302
81	0.02073406457
82	0.02069306421
83	0.02038210434
84	0.02021965116
85	0.01937930728
86	0.01931326327
87	0.01927352565
88	0.01909675909
89	0.01856986916
90	0.01817337617
91	0.0181382071
92	0.01764572761
93	0.01728358863
94	0.01688633546
95	0.0165080347
96	0.01605479995
97	0.01552007954
98	0.01547926991
99	0.01545322917
100	0.01503325956
101	0.01477100536
102	0.01451201843
103	0.0141825552
104	0.0139024003
105	0.01372251309
106	0.01342614715
107	0.01315739607
108	0.01295391054
109	0.01261969155
110	0.01236365796
111	0.0122246103
112	0.01200464964
113	0.01178229328
114	0.01150866505
115	0.01130354798
116	0.01113258224
117	0.01093401942
118	0.01086491088
119	0.0106306528
120	0.01039511232
121	0.01018961389
122	0.01012892045
123	0.01007016536
124	0.01001358853
125	0.009746526977
126	0.009694532419
127	0.009497702409
128	0.009448217745
129	0.009307048988
130	0.009171168845
131	0.009029038989
132	0.008849414037
133	0.008688711966
134	0.00852773029
135	0.008374410196
136	0.008230416636
137	0.008103586555
138	0.007967694729
139	0.007867671291
140	0.007754911674
141	0.007647676048
142	0.007540177662
143	0.007375827938
144	0.007259722179
145	0.007229094419
146	0.007194593644
147	0.007164479432
148	0.007156110534
149	0.007123927128
150	0.007055470107
151	0.007025108783
152	0.006883807511
153	0.006793040999
154	0.006699261513
155	0.006619748425
156	0.006549540987
157	0.006444627255
158	0.006369165582
159	0.006308659652
160	0.006241143196
161	0.006189276408
162	0.006128507339
163	0.006063440788
164	0.005999330955
165	0.005939032514
166	0.00586620481
167	0.005796489481
168	0.005727989972
169	0.005662321116
170	0.00559128831
171	0.005541611839
172	0.005480834992
173	0.005430078501
174	0.005373565444
175	0.005327553703
176	0.00528872851
177	0.005245639626
178	0.005210589024
179	0.005155126126
180	0.005140745613
181	0.005126443328
182	0.005075764827
183	0.00507181479
184	0.005039289961
185	0.004986968414
186	0.004949582479
187	0.004901183429
188	0.004842979865
189	0.004800913776
190	0.004745019164
191	0.004697682707
192	0.004656177211
193	0.004605465822
194	0.004543868967
195	0.004510615701
196	0.004468069126
197	0.004428190146
198	0.004425880567
199	0.004380611498
200	0.004361467441
201	0.004324368124
202	0.004298776562
203	0.004258603549
204	0.004208846605
205	0.004170502177
206	0.00414573601
207	0.004113014794
208	0.004077400996
209	0.004050202341
210	0.004023389129
211	0.003979917999
212	0.003955729699
213	0.003931788931
214	0.003908641818
215	0.003887823688
216	0.003872958029
217	0.003845460078
218	0.003823884524
219	0.003785062354
220	0.003747580144
221	0.003724890207
222	0.003686054617
223	0.003665957979
224	0.003635205157
225	0.003614150877
226	0.003593147695
227	0.003561119133
228	0.00353096478
229	0.003512564796
230	0.003492906754
231	0.003468820154
232	0.003458513843
233	0.003429229825
234	0.003406892205
235	0.00337907559
236	0.003355816146
237	0.003319234499
238	0.003293529672
239	0.003269700326
240	0.003243820681
241	0.003219031219
242	0.003187978171
243	0.00316991288
244	0.003148944108
245	0.003130387325
246	0.003116042641
247	0.003096461544
248	0.003071313967
249	0.003052166237
250	0.00303085192
251	0.0030099129
252	0.002989684953
253	0.002970465043
254	0.002949142544
255	0.00292318622
256	0.002916240936
257	0.002900259426
258	0.002891190991
259	0.002872291076
260	0.002854142214
261	0.002835599037
262	0.002811762958
263	0.002802222666
264	0.002784695006
265	0.002770202457
266	0.002753296577
267	0.00273599751
268	0.002722118317
269	0.002705216318
270	0.002689180202
271	0.002678862678
272	0.002664333241
273	0.002650193942
274	0.002634522314
275	0.002626783076
276	0.002611615843
277	0.002596374612
278	0.002580147841
279	0.002561507243
280	0.002540057589
281	0.002523362056
282	0.002509239426
283	0.002490561294
284	0.002476748923
285	0.002464272412
286	0.00245013299
287	0.002432372844
288	0.002414358683
289	0.002401952367
290	0.002392420007
291	0.00238665762
292	0.002374057881
293	0.002368045766
294	0.002354993495
295	0.00234935787
296	0.002337432685
297	0.002326170455
298	0.002320686064
299	0.002308616634
